Ns,peak_error,lag_error,peak_errors_log,lag_errors_log
2,0.7298726159130284,11.000000000001,-0.3148852588156545,2.3978952727984613
3,0.729855072577113,11.000000000001,-0.3149092952658151,2.3978952727984613
4,0.7298689999349455,11.000000000001,-0.3148902130870731,2.3978952727984613
5,0.7298676686899629,11.000000000001,-0.3148920370393121,2.3978952727984613
6,0.7298443407948763,11.000000000001,-0.3149239993646709,2.3978952727984613
7,0.7298280313541062,11.000000000001,-0.31494634607901845,2.3978952727984613
8,0.7298072730916859,11.000000000001,-0.3149747891597777,2.3978952727984613
9,0.7297778134047438,11.000000000001,-0.31501515636716926,2.3978952727984613
10,0.7297233863911009,11.000000000001,-0.3150897394009835,2.3978952727984613
11,0.7296511644515536,11.000000000001,-0.31518871596538156,2.3978952727984613
12,0.7295477056148747,11.000000000001,-0.31533051820902996,2.3978952727984613
13,0.7294294114253772,11.000000000001,-0.3154926786546944,2.3978952727984613
14,0.7292461652037793,11.000000000001,-0.31574392879625823,2.3978952727984613
15,0.7290521095733089,11.000000000001,-0.3160100686319451,2.3978952727984613
16,0.7288067549388265,11.000000000001,-0.31634666450246646,2.3978952727984613
17,0.728508356402194,11.000000000001,-0.31675618271644856,2.3978952727984613
18,0.7281824620411896,11.000000000001,-0.31720362751710957,2.3978952727984613
19,0.7277885115841828,11.000000000001,-0.31774477905619525,2.3978952727984613
20,0.7273415058489477,11.000000000001,-0.3183591650477433,2.3978952727984613
21,0.7268558341399506,11.000000000001,-0.31902712353411833,2.3978952727984613
22,0.7263197617263036,11.000000000001,-0.3197649179747751,2.3978952727984613
23,0.7257373268029076,11.000000000001,-0.3205671384373629,2.3978952727984613
24,0.7250841992659031,12.000000000001,-0.32146749395234514,2.484906649788084
25,0.7243982530046036,12.000000000001,-0.32241396462045324,2.484906649788084
26,0.7236614385205183,12.000000000001,-0.3234316223205968,2.484906649788084
27,0.722904361015534,12.000000000001,-0.3244783463263078,2.484906649788084
28,0.7221636397019221,12.000000000001,-0.32550351798344446,2.484906649788084
