Ns,converged,peak_error,lag_error,peak_errors_log,lag_errors_log
2,True,23.865345872261376,158.000000000001,3.172427443219438,5.062595033026973
3,True,23.80979170120935,155.000000000001,3.1700969120862643,5.043425116919253
4,True,24.717203594808517,175.000000000001,3.207499503003222,5.16478597392352
5,True,24.74466804765206,180.000000000001,3.208610033387704,5.192956850890216
6,True,24.745046969711456,207.000000000001,3.208625346551632,5.332718793265374
7,True,24.745046107116668,180.000000000001,3.2086253116923404,5.192956850890216
8,True,24.745047944491606,196.000000000001,3.208625385944571,5.278114659230522
9,True,24.745047986674752,198.000000000001,3.2086253876492816,5.2882670306945405
10,True,24.74504801356402,211.000000000001,3.208625388735934,5.351858133476071
11,True,22.721931118715435,52.000000000001,3.1233305866632937,3.9512437185814466
12,True,17.890066957351923,40.000000000001,2.8842456402387175,3.6888794541139616
13,True,13.671748708098631,35.000000000001,2.615331565604778,3.5553480614894424
14,True,9.549931465252161,30.000000000001,2.256533978053502,3.4011973816621888
15,True,6.4845781725045715,26.000000000001,1.869426769007381,3.2580965380215203
16,True,3.9391198653693684,22.000000000001,1.3709573139318076,3.0910424533583614
17,True,1.8891482318334378,16.000000000001,0.6361260565012611,2.7725887222398438
18,True,0.7824217791899516,9.000000000001,-0.2453613242609796,2.1972245773363306
19,True,0.23606403823680633,4.000000000001,-1.4436521623038185,1.3862943611201406
20,True,0.04098859258035468,1.000000000001,-3.194461480738353,1.000088900581841e-12
21,True,0.0025103094481771305,1.000000000001,-5.987349247311208,1.000088900581841e-12
22,True,0.005273991100723589,1.000000000001,-5.244967878438968,1.000088900581841e-12
23,True,0.0019552444220399274,1.000000000001,-6.237240069298321,1.000088900581841e-12
24,True,0.003609108159501165,1e-12,-5.624294584388135,-27.631021115928547
25,True,0.01038270465124,1e-12,-4.567613871481945,-27.631021115928547
26,True,0.015350929483983757,1e-12,-4.1765792540796465,-27.631021115928547
27,True,0.019015499788896634,1e-12,-3.96250085401903,-27.631021115928547
28,True,0.021696329028676072,1e-12,-3.8306122019318782,-27.631021115928547
