Beta,Gamma,Global Beta,Global Gamma,country
0.5698622932946908,0.45787444202466066,0.7983123466100371,0.6223261518136959,USA
0.8602424081518166,0.6996120961313139,0.7983123466100371,0.6223261518136959,ESP
1.0217894882438243,0.8402841256505358,0.7983123466100371,0.6223261518136959,FRA
0.9451208800067276,0.7134414879115356,0.7983123466100371,0.6223261518136959,BRA
0.9215466472498431,0.8540990875109512,0.7983123466100371,0.6223261518136959,MEX
1.587885213108034,1.234836059875839,0.7983123466100371,0.6223261518136959,PRY
1.32750373545226,1.1640602959688662,0.7983123466100371,0.6223261518136959,ITA
0.1481178202801768,2.027983101253625e-15,0.7983123466100371,0.6223261518136959,ARG
1.2661363910500636,0.9966082859180385,0.7983123466100371,0.6223261518136959,COL
0.5457209096814788,0.38528965332275855,0.7983123466100371,0.6223261518136959,CHL
0.7558292138886417,0.5721233274486062,0.7983123466100371,0.6223261518136959,PER
0.47129972859939995,0.39056239882999066,0.7983123466100371,0.6223261518136959,DEU
0.5944069852549044,0.4869233504382387,0.7983123466100371,0.6223261518136959,GBR
0.2105504275809838,0.1316494117878465,0.7983123466100371,0.6223261518136959,IND
0.11842547438325482,0.08200798667891057,0.7983123466100371,0.6223261518136959,JPN
