Beta,Gamma,Global Beta,Global Gamma,country
0.5988380499936783,0.48102115373253124,0.6820058769391693,0.536546408779293,USA
0.7510259926044157,0.6089111616281935,0.6820058769391693,0.536546408779293,ESP
0.7478008039831128,0.6118446938908305,0.6820058769391693,0.536546408779293,FRA
0.7736258578631413,0.5766245391530909,0.6820058769391693,0.536546408779293,BRA
0.6885912295414655,0.6363222596681599,0.6820058769391693,0.536546408779293,MEX
0.7760233370146656,0.5706236918153503,0.6820058769391693,0.536546408779293,PRY
0.7225777677915551,0.6279340729527226,0.6820058769391693,0.536546408779293,ITA
0.6608172991278062,0.4388187652370637,0.6820058769391693,0.536546408779293,ARG
0.768798482893653,0.5862241560137843,0.6820058769391693,0.536546408779293,COL
0.6312596545504758,0.4503784611120138,0.6820058769391693,0.536546408779293,CHL
0.7558289038062288,0.572123072002503,0.6820058769391693,0.536546408779293,PER
0.5917201660977245,0.49356138406433275,0.6820058769391693,0.536546408779293,DEU
0.5949323704671826,0.48737502298019536,0.6820058769391693,0.536546408779293,GBR
0.7251211864219731,0.6267805758600599,0.6820058769391693,0.536546408779293,IND
0.6863769231283517,0.6364517450279592,0.6820058769391693,0.536546408779293,JPN
