t_fit,I_fit,t_data,I_data
0.0,272118.0,0,272118.0
0.02902902902902903,272324.22696540994,1,287975.0
0.05805805805805806,272530.4630438413,2,305223.0
0.0870870870870871,272736.7079288022,3,344282.0
0.11611611611611612,272942.96126560215,4,416156.0
0.14514514514514515,273149.22285900055,5,500194.0
0.1741741741741742,273355.49235061277,6,596346.0
0.2032032032032032,273561.7694042516,7,690600.0
0.23223223223223224,273768.0536837299,8,785106.0
0.26126126126126126,273974.3448528603,9,850802.0
0.2902902902902903,274180.64257545565,10,918891.0
0.31931931931931934,274386.9465153288,11,1019428.0
0.3483483483483484,274593.2563362923,12,1108478.0
0.3773773773773774,274799.5717021591,13,1186374.0
0.4064064064064064,275005.89227674203,14,1278564.0
0.43543543543543545,275212.2177238537,15,1355196.0
0.4644644644644645,275418.5477078782,16,1399935.0
0.49349349349349353,275624.8819360493,17,1457997.0
0.5225225225225225,275831.2201070207,18,1497769.0
0.5515515515515516,276037.56189550256,19,1530931.0
0.5805805805805806,276243.906976205,20,1551032.0
0.6096096096096096,276450.2550238382,21,1558670.0
0.6386386386386387,276656.6057131124,22,1555127.0
0.6676676676676677,276862.95871873776,23,1551692.0
0.6966966966966968,277069.31371542445,24,1541461.0
0.7257257257257258,277275.6703778826,25,1507885.0
0.7547547547547548,277482.02838082245,26,1465306.0
0.7837837837837838,277688.38739895413,27,1414633.0
0.8128128128128128,277894.7471069878,28,1338664.0
0.8418418418418419,278101.1071642624,0,0.0
0.8708708708708709,278307.4672214551,0,0.0
0.8998998998998999,278513.8269475548,0,0.0
0.928928928928929,278720.18601164984,0,0.0
0.957957957957958,278926.54408282874,0,0.0
0.9869869869869871,279132.9008301801,0,0.0
1.016016016016016,279339.25592279225,0,0.0
1.045045045045045,279545.60902975383,0,0.0
1.0740740740740742,279751.9598201533,0,0.0
1.103103103103103,279958.3079630791,0,0.0
1.1321321321321323,280164.65312761976,0,0.0
1.1611611611611612,280370.9949828638,0,0.0
1.1901901901901903,280577.3328593862,0,0.0
1.2192192192192193,280783.667158437,0,0.0
1.2482482482482482,280989.997087154,0,0.0
1.2772772772772774,281196.32231362024,0,0.0
1.3063063063063063,281402.642505465,0,0.0
1.3353353353353354,281608.9573298641,0,0.0
1.3643643643643644,281815.26645353966,0,0.0
1.3933933933933935,282021.56954276015,0,0.0
1.4224224224224224,282227.8662633404,0,0.0
1.4514514514514516,282434.15628064174,0,0.0
1.4804804804804805,282640.4392595716,0,0.0
1.5095095095095097,282846.7148645841,0,0.0
1.5385385385385386,283052.9827547036,0,0.0
1.5675675675675675,283259.24256347533,0,0.0
1.5965965965965967,283465.4939461719,0,0.0
1.6256256256256256,283671.73656200233,0,0.0
1.6546546546546548,283877.9700696292,0,0.0
1.6836836836836837,284084.1941271686,0,0.0
1.7127127127127129,284290.4083921901,0,0.0
1.7417417417417418,284496.6125217169,0,0.0
1.770770770770771,284702.80617222574,0,0.0
1.7997997997997999,284908.98899964686,0,0.0
1.828828828828829,285115.16065936396,0,0.0
1.857857857857858,285321.32080621447,0,0.0
1.8868868868868869,285527.46909448924,0,0.0
1.915915915915916,285733.6051779327,0,0.0
1.944944944944945,285939.7287097429,0,0.0
1.9739739739739741,286145.83934257115,0,0.0
2.0030030030030033,286351.9367285227,0,0.0
2.032032032032032,286558.02051915607,0,0.0
2.061061061061061,286764.09036548337,0,0.0
2.09009009009009,286970.14591797034,0,0.0
2.1191191191191194,287176.18682653614,0,0.0
2.1481481481481484,287382.2127405536,0,0.0
2.1771771771771773,287588.22330884903,0,0.0
2.206206206206206,287794.2181797022,0,0.0
2.235235235235235,288000.1970008466,0,0.0
2.2642642642642645,288206.1594194691,0,0.0
2.2932932932932935,288412.1050822102,0,0.0
2.3223223223223224,288618.03363516397,0,0.0
2.3513513513513513,288823.94472387794,0,0.0
2.3803803803803807,289029.83799335326,0,0.0
2.4094094094094096,289235.7130880445,0,0.0
2.4384384384384385,289441.5696518599,0,0.0
2.4674674674674675,289647.40732816124,0,0.0
2.4964964964964964,289853.2257597638,0,0.0
2.525525525525526,290059.0245889363,0,0.0
2.5545545545545547,290264.80346127023,0,0.0
2.5835835835835836,290470.56203700585,0,0.0
2.6126126126126126,290676.2999611629,0,0.0
2.641641641641642,290882.0168760083,0,0.0
2.670670670670671,291087.7124233218,0,0.0
2.6996996996997,291293.38624439534,0,0.0
2.7287287287287287,291499.03798003384,0,0.0
2.757757757757758,291704.66727055435,0,0.0
2.786786786786787,291910.2737557868,0,0.0
2.815815815815816,292115.8570750736,0,0.0
2.844844844844845,292321.41686726955,0,0.0
2.873873873873874,292526.9527707422,0,0.0
2.902902902902903,292732.4644233716,0,0.0
2.931931931931932,292937.95146255026,0,0.0
2.960960960960961,293143.4135251834,0,0.0
2.98998998998999,293348.8502476887,0,0.0
3.0190190190190194,293554.26126599644,0,0.0
3.0480480480480483,293759.6462155494,0,0.0
3.0770770770770772,293965.0047313029,0,0.0
3.106106106106106,294170.336447725,0,0.0
3.135135135135135,294375.6409987961,0,0.0
3.1641641641641645,294580.9180180092,0,0.0
3.1931931931931934,294786.16713837,0,0.0
3.2222222222222223,294991.38799239654,0,0.0
3.2512512512512513,295196.58021211956,0,0.0
3.2802802802802806,295401.74342908233,0,0.0
3.3093093093093096,295606.8772743407,0,0.0
3.3383383383383385,295811.981378463,0,0.0
3.3673673673673674,296017.0553715302,0,0.0
3.396396396396397,296222.09888313565,0,0.0
3.4254254254254257,296427.11154238554,0,0.0
3.4544544544544546,296632.0929778984,0,0.0
3.4834834834834836,296837.0428178054,0,0.0
3.5125125125125125,297041.96068975027,0,0.0
3.541541541541542,297246.84622088925,0,0.0
3.570570570570571,297451.6990450871,0,0.0
3.5995995995995997,297656.51881781965,0,0.0
3.6286286286286287,297861.30517078156,0,0.0
3.657657657657658,298066.0577325664,0,0.0
3.686686686686687,298270.7761313715,0,0.0
3.715715715715716,298475.4599949983,0,0.0
3.744744744744745,298680.10895085207,0,0.0
3.7737737737737738,298884.7226259421,0,0.0
3.802802802802803,299089.3006468816,0,0.0
3.831831831831832,299293.84263988765,0,0.0
3.860860860860861,299498.34823078144,0,0.0
3.88988988988989,299702.81704498787,0,0.0
3.9189189189189193,299907.248707536,0,0.0
3.9479479479479482,300111.6428430587,0,0.0
3.976976976976977,300315.9990757928,0,0.0
4.0060060060060065,300520.31702957914,0,0.0
4.035035035035035,300724.59632786235,0,0.0
4.064064064064064,300928.8365936912,0,0.0
4.093093093093093,301133.0374497183,0,0.0
4.122122122122122,301337.1985182001,0,0.0
4.151151151151152,301541.31942099717,0,0.0
4.18018018018018,301745.3997795739,0,0.0
4.2092092092092095,301949.43921499874,0,0.0
4.238238238238239,302153.43734794395,0,0.0
4.267267267267267,302357.39379868575,0,0.0
4.296296296296297,302561.3081871044,0,0.0
4.325325325325325,302765.180132684,0,0.0
4.354354354354355,302969.00925451267,0,0.0
4.383383383383384,303172.7951712824,0,0.0
4.412412412412412,303376.53750128916,0,0.0
4.441441441441442,303580.23586243286,0,0.0
4.47047047047047,303783.8898722173,0,0.0
4.4994994994995,303987.4991477504,0,0.0
4.528528528528529,304191.0633057436,0,0.0
4.5575575575575575,304394.58196251286,0,0.0
4.586586586586587,304598.054737306,0,0.0
4.615615615615616,304801.4812569269,0,0.0
4.644644644644645,305004.8611385775,0,0.0
4.673673673673674,305208.19399831543,0,0.0
4.702702702702703,305411.47945183795,0,0.0
4.731731731731732,305614.717114482,0,0.0
4.760760760760761,305817.9066012242,0,0.0
4.78978978978979,306021.04752668086,0,0.0
4.818818818818819,306224.1395051078,0,0.0
4.847847847847848,306427.18215040077,0,0.0
4.876876876876877,306630.175076095,0,0.0
4.9059059059059065,306833.11789536546,0,0.0
4.934934934934935,307036.0102210267,0,0.0
4.963963963963964,307238.8516655332,0,0.0
4.992992992992993,307441.64184097876,0,0.0
5.022022022022022,307644.3803590971,0,0.0
5.051051051051052,307847.06683126156,0,0.0
5.08008008008008,308049.70086848503,0,0.0
5.109109109109109,308252.28208142024,0,0.0
5.138138138138139,308454.8100803595,0,0.0
5.167167167167167,308657.2844752348,0,0.0
5.196196196196197,308859.70487561775,0,0.0
5.225225225225225,309062.0708907198,0,0.0
5.2542542542542545,309264.3821293919,0,0.0
5.283283283283284,309466.63820012467,0,0.0
5.312312312312312,309668.8387110486,0,0.0
5.341341341341342,309870.98326993355,0,0.0
5.37037037037037,310073.0714841893,0,0.0
5.3993993993994,310275.1029608652,0,0.0
5.428428428428429,310477.0773066503,0,0.0
5.4574574574574575,310678.9941278732,0,0.0
5.486486486486487,310880.85303050245,0,0.0
5.515515515515516,311082.653620146,0,0.0
5.544544544544545,311284.39550205145,0,0.0
5.573573573573574,311486.07828110637,0,0.0
5.602602602602603,311687.70111283835,0,0.0
5.631631631631632,311889.2645832049,0,0.0
5.660660660660661,312090.7677751258,0,0.0
5.68968968968969,312292.21029417345,0,0.0
5.718718718718719,312493.59174556285,0,0.0
5.747747747747748,312694.91173415317,0,0.0
5.776776776776777,312896.16986444854,0,0.0
5.805805805805806,313097.3657405995,0,0.0
5.834834834834835,313298.498966404,0,0.0
5.863863863863864,313499.56914530875,0,0.0
5.892892892892893,313700.57588041,0,0.0
5.921921921921922,313901.5187744552,0,0.0
5.9509509509509515,314102.3974298436,0,0.0
5.97997997997998,314303.2114486281,0,0.0
6.009009009009009,314503.96043251565,0,0.0
6.038038038038039,314704.64398286905,0,0.0
6.067067067067067,314905.2617007076,0,0.0
6.096096096096097,315105.81318670866,0,0.0
6.125125125125125,315306.29804120853,0,0.0
6.1541541541541545,315506.7158642039,0,0.0
6.183183183183184,315707.06625535263,0,0.0
6.212212212212212,315907.3488139753,0,0.0
6.241241241241242,316107.5631390559,0,0.0
6.27027027027027,316307.7088292436,0,0.0
6.2992992992992995,316507.78548285336,0,0.0
6.328328328328329,316707.7926978674,0,0.0
6.357357357357357,316907.73007193615,0,0.0
6.386386386386387,317107.5972023798,0,0.0
6.415415415415416,317307.39368618873,0,0.0
6.444444444444445,317507.1191200256,0,0.0
6.473473473473474,317706.7731002257,0,0.0
6.5025025025025025,317906.3552227987,0,0.0
6.531531531531532,318105.86508342926,0,0.0
6.560560560560561,318305.3022774787,0,0.0
6.58958958958959,318504.6663999858,0,0.0
6.618618618618619,318703.95705110836,0,0.0
6.647647647647648,318903.1738381435,0,0.0
6.676676676676677,319102.31635710667,0,0.0
6.705705705705706,319301.3842033133,0,0.0
6.734734734734735,319500.3769718169,0,0.0
6.763763763763764,319699.29425741,0,0.0
6.792792792792794,319898.1356546268,0,0.0
6.821821821821822,320096.90075774497,0,0.0
6.850850850850851,320295.58916078723,0,0.0
6.87987987987988,320494.2004575236,0,0.0
6.908908908908909,320692.7342414732,0,0.0
6.937937937937939,320891.19010590634,0,0.0
6.966966966966967,321089.5676438462,0,0.0
6.9959959959959965,321287.86644807097,0,0.0
7.025025025025025,321486.08611111564,0,0.0
7.054054054054054,321684.22622527403,0,0.0
7.083083083083084,321882.28638260067,0,0.0
7.112112112112112,322080.2661749126,0,0.0
7.141141141141142,322278.1651937916,0,0.0
7.17017017017017,322475.9830305859,0,0.0
7.1991991991991995,322673.71927641216,0,0.0
7.228228228228229,322871.3735221573,0,0.0
7.257257257257257,323068.94535848056,0,0.0
7.286286286286287,323266.4343758155,0,0.0
7.315315315315316,323463.8401643717,0,0.0
7.344344344344345,323661.1623141368,0,0.0
7.373373373373374,323858.4004148785,0,0.0
7.402402402402402,324055.5540561465,0,0.0
7.431431431431432,324252.622827274,0,0.0
7.460460460460461,324449.6063173805,0,0.0
