t_fit,I_fit,t_data,I_data
0.0,272118.0,0,272118.0
0.02902902902902903,273225.06503500085,1,287975.0
0.05805805805805806,274336.1030951131,2,305223.0
0.0870870870870871,275451.12363662024,3,344282.0
0.11611611611611612,276570.1370823657,4,416156.0
0.14514514514514515,277693.15175136644,5,500194.0
0.1741741741741742,278820.1786846277,6,596346.0
0.2032032032032032,279951.2273554163,7,690600.0
0.23223223223223224,281086.30741873273,8,785106.0
0.26126126126126126,282225.428517432,9,850802.0
0.2902902902902903,283368.6002701865,10,918891.0
0.31931931931931934,284515.8322821055,11,1019428.0
0.3483483483483484,285667.1341292532,12,1108478.0
0.3773773773773774,286822.515376722,13,1186374.0
0.4064064064064064,287981.9855621124,14,1278564.0
0.43543543543543545,289145.55417847115,15,1355196.0
0.4644644644644645,290313.23070789065,16,1399935.0
0.49349349349349353,291485.02463505015,17,1457997.0
0.5225225225225225,292660.94542135,18,1497769.0
0.5515515515515516,293841.00250491186,19,1530931.0
0.5805805805805806,295025.2053005786,20,1551032.0
0.6096096096096096,296213.56319991435,21,1558670.0
0.6386386386386387,297406.08557120454,22,1555127.0
0.6676676676676677,298602.7817594413,23,1551692.0
0.6966966966966968,299803.6610440254,24,1541461.0
0.7257257257257258,301008.732666536,25,1507885.0
0.7547547547547548,302218.00587403425,26,1465306.0
0.7837837837837838,303431.48988765513,27,1414633.0
0.8128128128128128,304649.19390260766,28,1338664.0
0.8418418418418419,305871.127088175,0,0.0
0.8708708708708709,307097.2985877142,0,0.0
0.8998998998998999,308327.7175186564,0,0.0
0.928928928928929,309562.3929725068,0,0.0
0.957957957957958,310801.333974944,0,0.0
0.9869869869869871,312044.5494931773,0,0.0
1.016016016016016,313292.04850820475,0,0.0
1.045045045045045,314543.83997227333,0,0.0
1.0740740740740742,315799.9328086178,0,0.0
1.103103103103103,317060.33591146045,0,0.0
1.1321321321321323,318325.0581460114,0,0.0
1.1611611611611612,319594.10834846826,0,0.0
1.1901901901901903,320867.4953260167,0,0.0
1.2192192192192193,322145.2278045625,0,0.0
1.2482482482482482,323427.31440586137,0,0.0
1.2772772772772774,324713.763794506,0,0.0
1.3063063063063063,326004.58460313105,0,0.0
1.3353353353353354,327299.78543023666,0,0.0
1.3643643643643644,328599.3748401886,0,0.0
1.3933933933933935,329903.3613632181,0,0.0
1.4224224224224224,331211.7534954221,0,0.0
1.4514514514514516,332524.559698763,0,0.0
1.4804804804804805,333841.78856429964,0,0.0
1.5095095095095097,335163.4478366841,0,0.0
1.5385385385385386,336489.54615688336,0,0.0
1.5675675675675675,337820.09177425056,0,0.0
1.5965965965965967,339155.0929023701,0,0.0
1.6256256256256256,340494.5577184568,0,0.0
1.6546546546546548,341838.49436275655,0,0.0
1.6836836836836837,343186.91093794577,0,0.0
1.7127127127127129,344539.81550853164,0,0.0
1.7417417417417418,345897.2160604399,0,0.0
1.770770770770771,347259.12040751986,0,0.0
1.7997997997997999,348625.53642712784,0,0.0
1.828828828828829,349996.4719630662,0,0.0
1.857857857857858,351371.93481163174,0,0.0
1.8868868868868869,352751.9327207534,0,0.0
1.915915915915916,354136.4733891289,0,0.0
1.944944944944945,355525.56446536194,0,0.0
1.9739739739739741,356919.2135470994,0,0.0
2.0030030030030033,358317.42818016844,0,0.0
2.032032032032032,359720.2158577134,0,0.0
2.061061061061061,361127.5840193331,0,0.0
2.09009009009009,362539.540050218,0,0.0
2.1191191191191194,363956.09128028684,0,0.0
2.1481481481481484,365377.24497932126,0,0.0
2.1771771771771773,366803.0082972402,0,0.0
2.206206206206206,368233.3883510472,0,0.0
2.235235235235235,369668.3922151764,0,0.0
2.2642642642642645,371108.02690179367,0,0.0
2.2932932932932935,372552.29935982084,0,0.0
2.3223223223223224,374001.2164739601,0,0.0
2.3513513513513513,375454.7850637183,0,0.0
2.3803803803803807,376913.01188243134,0,0.0
2.4094094094094096,378375.90361628827,0,0.0
2.4384384384384385,379843.466883356,0,0.0
2.4674674674674675,381315.7082326031,0,0.0
