epsilon,converged,peak_error,lag_error,peak_errors_log,lag_errors_log
1e-12,True,0.7296952714941344,11.0,-0.31512826829989554,2.3978952727983707
0.009174311927605506,False,0.6149185768051346,1.000000000001,-0.48626541537947443,1.000088900581841e-12
0.01834862385421101,False,0.5422794930982439,1.000000000001,-0.6119737405315759,1.000088900581841e-12
0.027522935780816514,False,0.6199692451710046,1e-12,-0.4780854067362426,-27.631021115928547
0.03669724770742202,False,0.39787718240410586,1.000000000001,-0.9216119082447989,1.000088900581841e-12
0.045871559634027524,False,0.505386992683536,1.000000000001,-0.6824308210360555,1.000088900581841e-12
0.05504587156063303,False,0.20104325484068009,1e-12,-1.6042351958625365,-27.631021115928547
0.06422018348723854,False,0.06219100104213528,1.000000000001,-2.7775449674830184,1.000088900581841e-12
0.07339449541384405,False,0.11876961697421888,1.000000000001,-2.130569654138303,1.000088900581841e-12
0.08256880734044955,True,0.09846590641188666,1.000000000001,-2.3180449185182512,1.000088900581841e-12
0.09174311926705506,True,0.09841880976038477,1.000000000001,-2.3185233370904577,1.000088900581841e-12
0.10091743119366056,True,0.09917520085356635,1.000000000001,-2.3108672873398683,1.000088900581841e-12
0.11009174312026607,True,0.10102386961520538,1.000000000001,-2.2923984572392646,1.000088900581841e-12
0.11926605504687157,True,0.10140773739288446,1.000000000001,-2.2886058850864344,1.000088900581841e-12
0.12844036697347708,True,0.10116718368472674,1.000000000001,-2.2909808466063217,1.000088900581841e-12
0.13761467890008258,True,0.10207723692376745,1.000000000001,-2.2820255275050574,1.000088900581841e-12
0.1467889908266881,True,0.10557905943915474,1.000000000001,-2.2482952281397526,1.000088900581841e-12
0.1559633027532936,True,0.10894677677125061,1.000000000001,-2.216895802505956,1.000088900581841e-12
0.1651376146798991,True,0.11417866993964675,1.000000000001,-2.1699907773171057,1.000088900581841e-12
0.1743119266065046,True,0.12474867804958747,1.000000000001,-2.0814541412035497,1.000088900581841e-12
0.1834862385331101,True,0.1304580170341518,1.000000000001,-2.0367038125292467,1.000088900581841e-12
0.1926605504597156,True,0.13691485034235795,1.000000000001,-1.9883960767318205,1.000088900581841e-12
0.20183486238632112,True,0.14413089061030634,1.000000000001,-1.937033429690881,1.000088900581841e-12
0.21100917431292662,True,0.15014613565236584,1.000000000001,-1.8961462214649694,1.000088900581841e-12
0.22018348623953213,True,0.15635317995416112,1.000000000001,-1.8556378565952454,1.000088900581841e-12
0.22935779816613763,True,0.16303456590917137,1.000000000001,-1.8137930398646238,1.000088900581841e-12
0.23853211009274314,True,0.17001367173156756,1.000000000001,-1.7718764232151496,1.000088900581841e-12
0.24770642201934864,True,0.17680900447613582,1.000000000001,-1.7326851997806116,1.000088900581841e-12
0.2568807339459541,True,0.17875288066900544,1.000000000001,-1.7217509819070758,1.000088900581841e-12
0.2660550458725596,True,0.18142851586655342,1.000000000001,-1.7068935548322037,1.000088900581841e-12
0.27522935779916513,True,0.1840628459622792,1.000000000001,-1.6924780255466676,1.000088900581841e-12
0.28440366972577064,True,0.18917905433513285,2.000000000001,-1.665061334966701,0.6931471805604453
0.29357798165237614,True,0.19120249354295288,2.000000000001,-1.6544222369072357,0.6931471805604453
0.30275229357898165,True,0.1949865562469869,2.000000000001,-1.6348246651181655,0.6931471805604453
0.31192660550558715,True,0.20137268143545514,2.000000000001,-1.60259795121755,0.6931471805604453
0.32110091743219266,True,0.20166953480922986,2.000000000001,-1.6011248875260116,0.6931471805604453
0.33027522935879816,False,0.19224718064648907,2.000000000001,-1.6489733357416845,0.6931471805604453
0.33944954128540367,True,0.232189050918582,2.000000000001,-1.4602033644968593,0.6931471805604453
0.34862385321200917,True,0.23390987590095902,2.000000000001,-1.452819383534496,0.6931471805604453
0.3577981651386147,False,0.21025618097839915,2.000000000001,-1.559428582328623,0.6931471805604453
0.3669724770652202,True,0.2598621861378834,2.000000000001,-1.3476038418103615,0.6931471805604453
0.3761467889918257,True,0.28612148160009276,2.000000000001,-1.2513387975081474,0.6931471805604453
0.3853211009184312,True,0.30413684175523553,3.000000000001,-1.1902775415045925,1.098612288668443
