t_fit,I_fit,t_data,I_data
0.0,272118.0,0,272118.0
0.02902902902902903,272542.8473481275,1,287975.0
0.05805805805805806,272968.143786726,2,305223.0
0.0870870870870871,273393.88904062123,3,344282.0
0.11611611611611612,273820.08278653113,4,416156.0
0.14514514514514515,274246.7248234809,5,500194.0
0.1741741741741742,274673.81481031654,6,596346.0
0.2032032032032032,275101.3524315302,7,690600.0
0.23223223223223224,275529.33737161395,8,785106.0
0.26126126126126126,275957.7693150598,9,850802.0
0.2902902902902903,276386.64794635994,10,918891.0
0.31931931931931934,276815.9729500064,11,1019428.0
0.3483483483483484,277245.7440104913,12,1108478.0
0.3773773773773774,277675.96081230673,13,1186374.0
0.4064064064064064,278106.62301895407,14,1278564.0
0.43543543543543545,278537.7302837343,15,1355196.0
0.4644644644644645,278969.28228183533,16,1399935.0
0.49349349349349353,279401.2786884958,17,1457997.0
0.5225225225225225,279833.71917895426,18,1497769.0
0.5515515515515516,280266.60342844925,19,1530931.0
0.5805805805805806,280699.9311122194,20,1551032.0
0.6096096096096096,281133.7019055033,21,1558670.0
0.6386386386386387,281567.91548353946,22,1555127.0
0.6676676676676677,282002.57149659406,23,1551692.0
0.6966966966966968,282437.6694903817,24,1541461.0
0.7257257257257258,282873.2090944159,25,1507885.0
0.7547547547547548,283309.18995194335,26,1465306.0
0.7837837837837838,283745.61170621106,27,1414633.0
0.8128128128128128,284182.4740004659,28,1338664.0
0.8418418418418419,284619.77647795476,0,0.0
0.8708708708708709,285057.51878192456,0,0.0
0.8998998998998999,285495.7005556222,0,0.0
0.928928928928929,285934.3203939287,0,0.0
0.957957957957958,286373.3803088984,0,0.0
0.9869869869869871,286812.878312827,0,0.0
1.016016016016016,287252.81404309376,0,0.0
1.045045045045045,287693.18713358435,0,0.0
1.0740740740740742,288133.99721469084,0,0.0
1.103103103103103,288575.2439133114,0,0.0
1.1321321321321323,289016.92685285065,0,0.0
1.1611611611611612,289459.04565321945,0,0.0
1.1901901901901903,289901.599930835,0,0.0
1.2192192192192193,290344.589256197,0,0.0
1.2482482482482482,290788.01313615066,0,0.0
1.2772772772772774,291231.8711485694,0,0.0
1.3063063063063063,291676.16286910814,0,0.0
1.3353353353353354,292120.8878684953,0,0.0
1.3643643643643644,292566.045712533,0,0.0
1.3933933933933935,293011.63596209674,0,0.0
1.4224224224224224,293457.6581731358,0,0.0
1.4514514514514516,293904.11189667264,0,0.0
1.4804804804804805,294350.9966788037,0,0.0
1.5095095095095097,294798.31206069875,0,0.0
1.5385385385385386,295246.05757860106,0,0.0
1.5675675675675675,295694.23276382755,0,0.0
1.5965965965965967,296142.83714276867,0,0.0
1.6256256256256256,296591.87023688847,0,0.0
1.6546546546546548,297041.33156272443,0,0.0
1.6836836836836837,297491.2206362754,0,0.0
1.7127127127127129,297941.5370101525,0,0.0
1.7417417417417418,298392.28020703973,0,0.0
1.770770770770771,298843.44973524683,0,0.0
1.7997997997997999,299295.0450987844,0,0.0
1.828828828828829,299747.065797364,0,0.0
1.857857857857858,300199.5113263983,0,0.0
1.8868868868868869,300652.3811770009,0,0.0
1.915915915915916,301105.6748359863,0,0.0
1.944944944944945,301559.3917858701,0,0.0
1.9739739739739741,302013.53150486876,0,0.0
2.0030030030030033,302468.09346689994,0,0.0
2.032032032032032,302923.0771415821,0,0.0
2.061061061061061,303378.4819942347,0,0.0
2.09009009009009,303834.30748587823,0,0.0
2.1191191191191194,304290.55307323416,0,0.0
2.1481481481481484,304747.2182087249,0,0.0
2.1771771771771773,305204.3023629347,0,0.0
2.206206206206206,305661.80500879127,0,0.0
2.235235235235235,306119.7255944902,0,0.0
