Beta,Gamma,Global Beta,Global Gamma,country
0.5597195349530346,0.44977027288368593,0.5274458115534406,0.4261453329236717,USA
0.5609722013182875,0.4479583529586556,0.5274458115534406,0.4261453329236717,ESP
0.5594327727277322,0.45015890252769697,0.5274458115534406,0.4261453329236717,FRA
0.556721009300726,0.39904591162169706,0.5274458115534406,0.4261453329236717,BRA
0.5001548238287171,0.45509403746195876,0.5274458115534406,0.4261453329236717,MEX
0.5543402953863875,0.39655088512596137,0.5274458115534406,0.4261453329236717,PRY
0.5412242097212743,0.46369345301545023,0.5274458115534406,0.4261453329236717,ITA
0.553259860560084,0.39558983825936117,0.5274458115534406,0.4261453329236717,ARG
0.5644711662692519,0.4109884157570285,0.5274458115534406,0.4261453329236717,COL
0.5508551224600622,0.3937668459172153,0.5274458115534406,0.4261453329236717,CHL
0.5653308713216237,0.4132397394691742,0.5274458115534406,0.4261453329236717,PER
0.49177204497001886,0.4080471629753332,0.5274458115534406,0.4261453329236717,DEU
0.5561785449350856,0.4539694255985455,0.5274458115534406,0.4261453329236717,GBR
0.5500418799234101,0.45914648484711057,0.5274458115534406,0.4261453329236717,IND
0.5002240418791868,0.45556347129922065,0.5274458115534406,0.4261453329236717,JPN
