Beta,Gamma,Global Beta,Global Gamma,country
0.4244584862134698,0.34054887790182925,0.4085140511163917,0.3287570231083099,USA
0.42296827771430107,0.32791346358818857,0.4085140511163917,0.3287570231083099,ESP
0.4240657534354487,0.33139024341714995,0.4085140511163917,0.3287570231083099,FRA
0.4312329539473079,0.3032005864960255,0.4085140511163917,0.3287570231083099,BRA
0.3919096044207411,0.346200533494008,0.4085140511163917,0.3287570231083099,MEX
0.4222725076940226,0.31444784834402895,0.4085140511163917,0.3287570231083099,PRY
0.41503631015294074,0.3485863816984135,0.4085140511163917,0.3287570231083099,ITA
0.42140106945500294,0.315289966037936,0.4085140511163917,0.3287570231083099,ARG
0.4225844334428522,0.31318979691129145,0.4085140511163917,0.3287570231083099,COL
0.4200241830388413,0.31508740151585685,0.4085140511163917,0.3287570231083099,CHL
0.4215001873954591,0.3146319943679346,0.4085140511163917,0.3287570231083099,PER
0.41940766472735364,0.3459568266410158,0.4085140511163917,0.3287570231083099,DEU
0.42486492905865314,0.3393223687932086,0.4085140511163917,0.3287570231083099,GBR
0.424465582772269,0.33837346006745467,0.4085140511163917,0.3287570231083099,IND
0.3920214458424167,0.34698118090145974,0.4085140511163917,0.3287570231083099,JPN
